dataset,horizon,variant,variant_label,seed,validation_best_mse,validation_best_mae,test_mse,test_mae,result_source,test_access
Weather,96,no_decomp,w/o Decomposition,2022,0.3808641826476653,0.26518861061425564,0.1456358534301278,0.19750918980151144,,one_shot_after_validation_selection
Weather,96,no_decomp,w/o Decomposition,2023,0.3782116486969357,0.26487692287185605,0.1453883963905609,0.19766978912920294,,one_shot_after_validation_selection
Weather,96,no_patch,w/o Patch,2021,0.37637351622931403,0.262656242324388,0.1448519733690986,0.19530723899553792,,one_shot_after_validation_selection
Weather,96,no_patch,w/o Patch,2022,0.37845780136193813,0.26261716934062523,0.14489917157736174,0.19460210686362853,,one_shot_after_validation_selection
Weather,96,no_patch,w/o Patch,2023,0.3780061661748284,0.2624634365669451,0.14529323488017146,0.1955093102648984,,one_shot_after_validation_selection
Weather,96,no_mamba,w/o Mamba,2021,0.3899545624127976,0.2747919192130229,0.15826946635636258,0.20795750192287848,,one_shot_after_validation_selection
Weather,96,no_mamba,w/o Mamba,2022,0.39085364028817166,0.27521873027742133,0.15874370497772736,0.20887236259382388,,one_shot_after_validation_selection
Weather,96,no_mamba,w/o Mamba,2023,0.389570517705615,0.2747069697983014,0.15893408629396716,0.20811653684506037,,one_shot_after_validation_selection
Weather,96,no_graph,w/o Graph,2021,0.3841292540254279,0.26760851340319114,0.14687128064929444,0.1964932070469929,,one_shot_after_validation_selection
Weather,96,no_graph,w/o Graph,2022,0.3836932128737761,0.2697832455842391,0.14625452423900417,0.19791246290010311,,one_shot_after_validation_selection
Weather,96,no_graph,w/o Graph,2023,0.3827106724292915,0.2679357702821121,0.14601306983463672,0.19585183960917504,,one_shot_after_validation_selection
Weather,192,full,TimeRole (Full),2021,0.4499114554469259,0.31155879198507336,0.1877095252275467,0.23579229414463043,protocol_matched_frozen_record,reused_frozen_test_record
Weather,192,full,TimeRole (Full),2022,0.45209606623932513,0.3132430722262179,0.1884407252073288,0.2366107553243637,protocol_matched_frozen_record,reused_frozen_test_record
Weather,192,full,TimeRole (Full),2023,0.4497052209506648,0.3141152133300914,0.18798694014549255,0.23815220594406128,protocol_matched_frozen_record,reused_frozen_test_record
Weather,192,no_dhc,w/o DHC,2021,0.4650008320700742,0.31875955348969665,0.20578346900430397,0.2493277054647061,,one_shot_after_validation_selection
Weather,192,no_dhc,w/o DHC,2022,0.4635177826086151,0.3176694032662528,0.20612691010368026,0.25026397131168426,,one_shot_after_validation_selection
Weather,192,no_dhc,w/o DHC,2023,0.46279462081385625,0.31725269049947097,0.20640048898441576,0.2513095275881528,,one_shot_after_validation_selection
Weather,192,no_decomp,w/o Decomposition,2021,0.4453832067765381,0.3106708839856251,0.1878027675372439,0.23822735039975032,,one_shot_after_validation_selection
Weather,192,no_decomp,w/o Decomposition,2022,0.445931828476484,0.3130500308550314,0.18788857974685796,0.23967207674227345,,one_shot_after_validation_selection
Weather,192,no_decomp,w/o Decomposition,2023,0.44345120369987345,0.31031401228902417,0.18754028590391783,0.2388555784770409,,one_shot_after_validation_selection
Weather,192,no_patch,w/o Patch,2021,0.44754739593130183,0.3093437853121389,0.18776996336079765,0.23690169494255536,,one_shot_after_validation_selection
Weather,192,no_patch,w/o Patch,2022,0.4491709728233396,0.31001933921959623,0.18924979174797085,0.23787115037138806,,one_shot_after_validation_selection
Weather,192,no_patch,w/o Patch,2023,0.44650501782968116,0.3085017765696465,0.18776079923178368,0.236427013058699,,one_shot_after_validation_selection
Weather,192,no_mamba,w/o Mamba,2021,0.46821405506874075,0.32367719343646184,0.20403640081129087,0.24800511696035535,,one_shot_after_validation_selection
Weather,192,no_mamba,w/o Mamba,2022,0.4681559553422858,0.32345289953289735,0.2039156763661915,0.2482674756840845,,one_shot_after_validation_selection
Weather,192,no_mamba,w/o Mamba,2023,0.46531606764495903,0.3215939778140731,0.20191298829505006,0.24658134663096454,,one_shot_after_validation_selection
Weather,192,no_graph,w/o Graph,2021,0.4528415425174999,0.31340658104491204,0.188964221671206,0.23661850913642749,,one_shot_after_validation_selection
